,Price,Address,Latitude,Longitude,Sqft
41,502000," 555 Yonge St, Toronto ",43.66472329999999,-79.38408359999998,650.0
42,630666," 139 Merton St, Toronto ",43.696804,-79.39191640000001,850.0
43,765000," 30 Elsie Lane, Toronto ",43.660349100000005,-79.4519198,950.0
44,670000," 812 Burnhamthorpe Rd, Toronto ",43.6396794,-79.58156590000002,1300.0
47,462500," 10 Sunrise Ave, Toronto ",43.7197434,-79.3012217,1100.0
48,350000," 3650 Kingston Rd, Toronto ",43.7424456,-79.21422940000001,250.0
50,1240000,"131 Palmerston Ave, Toronto ",43.6507544,-79.40786390000001,1750.0
51,1158888,"39 Crossovers St, Toronto ",43.685655499999996,-79.29652709999999,2750.0
52,705000," 120 Homewood Ave, Toronto ",43.66703,-79.37638620000001,850.0
53,354500," 2245 Eglinton Ave E, Toronto ",43.7300414,-79.2733352,750.0
54,1125000,"35 Burgess Ave, Toronto ",43.6783095,-79.3083192,1300.0
56,630000," 100 Harbour St, Toronto ",43.641775200000005,-79.3797532,650.0
57,630666," 139 Merton St, Toronto ",43.696804,-79.39191640000001,850.0
58,502000," 555 Yonge St, Toronto ",43.66472329999999,-79.38408359999998,650.0
60,543600," 45 Charles St, Toronto ",43.668717799999996,-79.3839957,550.0
61,412000," 85 Emmett Ave, Toronto ",43.686967100000004,-79.50602109999998,1100.0
63,1220000,"874 Manning Ave, Toronto ",43.6701473,-79.4186045,1750.0
64,1450000,"29 Wellman Dr, Richmond Hill ",43.960300700000005,-79.44099609999999,2750.0
65,627500," 25 Oxley St, Toronto ",43.6462468,-79.3945285,650.0
67,470000," 8 Mercer St, Toronto ",43.6460058,-79.38990849999999,250.0
69,832000," 1030 King St W, Toronto ",43.641579,-79.4159028,850.0
70,1300000," 1100 Lansdowne Ave, Toronto ",43.6706157,-79.44841329999998,2374.0
71,1300000,"110 Walpole Ave, Toronto ",43.675163700000006,-79.32489749999999,1300.0
72,630000," 100 Harbour St, Toronto ",43.641775200000005,-79.3797532,650.0
73,752500," 35 Foundry Ave, Toronto ",43.6704971,-79.4490273,1300.0
74,670000," 812 Burnhamthorpe Rd, Toronto ",43.6396794,-79.58156590000002,1300.0
75,582000," 125 Village Green Sq, Toronto ",43.7774482,-79.2810949,1300.0
76,725500," 120 Homewood Ave, Toronto ",43.66703,-79.37638620000001,850.0
77,1158888,"39 Crossovers St, Toronto ",43.685655499999996,-79.29652709999999,2750.0
78,462500," 10 Sunrise Ave, Toronto ",43.7197434,-79.3012217,1100.0
79,354500," 2245 Eglinton Ave E, Toronto ",43.7300414,-79.2733352,750.0
80,1125000,"35 Burgess Ave, Toronto ",43.6783095,-79.3083192,1300.0
81,630666," 139 Merton St, Toronto ",43.696804,-79.39191640000001,850.0
82,800000," 3800 Yonge St, Toronto ",43.7388999,-79.40673520000001,1300.0
83,355000," 88 Alton Towers Cir, Toronto ",43.82482589999999,-79.274493,750.0
84,630000," 23 Lorraine Dr, Toronto ",43.7780172,-79.41662779999999,850.0
85,415000," 115 Omni Dr, Toronto ",43.7713861,-79.2607673,950.0
86,1220000,"874 Manning Ave, Toronto ",43.6701473,-79.4186045,1750.0
87,310000," 100 Leeward Glwy, Toronto ",43.711857200000004,-79.3294906,650.0
88,553000," 44 Chester Le Blvd, Toronto ",43.7957439,-79.3286663,1100.0
90,455000," 7 Bishop Ave, Toronto ",43.7816907,-79.4143853,950.0
91,1400000," 326 Carlaw Ave, Toronto ",43.6639075,-79.34180309999999,1900.0
92,1535000,"56 Victor Ave, Toronto ",43.617199799999995,-79.4924244,2250.0
93,595000," 195 Wynford Dr, Toronto ",43.723587,-79.32487859999999,1300.0
94,1450000,"29 Wellman Dr, Richmond Hill ",43.960300700000005,-79.44099609999999,2750.0
95,412000," 85 Emmett Ave, Toronto ",43.686967100000004,-79.50602109999998,1100.0
97,765000," 30 Elsie Lane, Toronto ",43.660349100000005,-79.4519198,950.0
98,545000," 56 Forest Manor Rd, Toronto ",43.773553299999996,-79.3449069,550.0
100,455000," 7 Bishop Ave, Toronto ",43.7816907,-79.4143853,950.0
101,350000," 3650 Kingston Rd, Toronto ",43.7424456,-79.21422940000001,250.0
102,752500," 35 Foundry Ave, Toronto ",43.6704971,-79.4490273,1300.0
103,355000," 88 Alton Towers Cir, Toronto ",43.82482589999999,-79.274493,750.0
104,462500," 10 Sunrise Ave, Toronto ",43.7197434,-79.3012217,1100.0
106,470000," 8 Mercer St, Toronto ",43.6460058,-79.38990849999999,250.0
107,630000," 100 Harbour St, Toronto ",43.641775200000005,-79.3797532,650.0
108,670000," 812 Burnhamthorpe Rd, Toronto ",43.6396794,-79.58156590000002,1300.0
109,627500," 25 Oxley St, Toronto ",43.6462468,-79.3945285,650.0
110,1420000," 10 Walker Ave, Toronto ",43.6827638,-79.393061,2124.0
112,553000," 44 Chester Le Blvd, Toronto ",43.7957439,-79.3286663,1100.0
113,1240000,"131 Palmerston Ave, Toronto ",43.6507544,-79.40786390000001,1750.0
114,1300000,"110 Walpole Ave, Toronto ",43.675163700000006,-79.32489749999999,1300.0
115,760000," 701 Sheppard Ave W, Toronto ",43.7542374,-79.4432703,1300.0
116,582000," 125 Village Green Sq, Toronto ",43.7774482,-79.2810949,1300.0
118,580000," 8 York St, Toronto ",43.6406456,-79.380939,650.0
120,725500," 120 Homewood Ave, Toronto ",43.66703,-79.37638620000001,850.0
121,545000," 431 Silverstone Dr, Toronto ",43.7428606,-79.6001328,1300.0
123,395000," 10 Markbrook Lane, Toronto ",43.7590096,-79.58856850000001,1100.0
125,760000," 352 Front St, Toronto ",43.6432542,-79.3924143,750.0
128,510000," 39 Sherbourne St, Toronto ",43.6510891,-79.3679085,550.0
131,785000," 5 St Joseph St, Toronto ",43.6657528,-79.3855792,750.0
132,368000," 8 Mondeo Dr, Toronto ",43.764438899999995,-79.2885842,650.0
136,535000," 103 The Queensway Ave, Toronto ",43.636292600000004,-79.4704628,750.0
137,408000," 36 Lisgar St, Toronto ",43.6419833,-79.42324980000001,250.0
138,365000," 100 Echo Pt, Toronto ",43.798613,-79.31472609999999,1100.0
139,598000,"1127 Finch Ave E, Toronto ",43.7912268,-79.3610271,1100.0
141,589000," 835 St. Clair Ave W, Toronto ",43.6801738,-79.4318203,650.0
147,499900," 3091 Dufferin St, Toronto ",43.715861600000004,-79.45421800000001,550.0
148,540000," 88 Harbour St, Toronto ",43.6419035,-79.379113,250.0
149,865000,"15 Shadowbrook Dr, Toronto ",43.6597958,-79.54877509999999,1300.0
152,1215000,"109 Rhodes Ave, Toronto ",43.6688403,-79.3185567,1750.0
154,340000," 380 Dixon Rd, Toronto ",43.6952016,-79.5567,1100.0
156,790000,"124 Ardwick Blvd, Toronto ",43.745088,-79.5589172,1750.0
157,368000," 8 Mondeo Dr, Toronto ",43.764438899999995,-79.2885842,650.0
159,450017," 5 Old Sheppard Ave, Toronto ",43.7772704,-79.33683020000001,1100.0
160,481000," 205 Sherway Gardens Rd, Toronto ",43.6092724,-79.557008,650.0
161,665000," 3 Rean Dr, Toronto ",43.76537929999999,-79.38301700000001,950.0
162,680000," 8 The Esplanade Ave, Toronto ",43.6461582,-79.3764182,650.0
163,760000," 352 Front St, Toronto ",43.6432542,-79.3924143,750.0
164,547000," 228 Queens Quay W, Toronto ",43.639543100000004,-79.3836248,550.0
165,430000," 1040 The Queensway, Toronto ",43.623414700000005,-79.5166562,550.0
167,510000," 39 Sherbourne St, Toronto ",43.6510891,-79.3679085,550.0
168,790000,"124 Ardwick Blvd, Toronto ",43.745088,-79.5589172,1750.0
169,645000," 80 Western Battery Rd, Toronto ",43.6396224,-79.4146051,750.0
171,470500," 630 Kingston Rd, Toronto ",43.6789026,-79.298997,550.0
174,936000,"31 Fuller Ave, Toronto ",43.641147700000005,-79.439277,1750.0
175,499900," 3091 Dufferin St, Toronto ",43.715861600000004,-79.45421800000001,550.0
176,450017," 5 Old Sheppard Ave, Toronto ",43.7772704,-79.33683020000001,1100.0
179,505000," 371 Orton Park Rd, Toronto ",43.7794382,-79.2153531,1100.0
180,785000," 5 St Joseph St, Toronto ",43.6657528,-79.3855792,750.0
182,408000," 36 Lisgar St, Toronto ",43.6419833,-79.42324980000001,250.0
184,976000," 35 Boardwalk Dr, Toronto ",43.664513299999996,-79.30808809999999,1100.0
185,481000," 205 Sherway Gardens Rd, Toronto ",43.6092724,-79.557008,650.0
188,1010000," 1888 Bayview Ave, Toronto ",43.7173741,-79.37867320000001,950.0
189,615000," 3000 Midland Ave, Toronto ",43.8028015,-79.2860837,1500.0
190,368000," 8 Mondeo Dr, Toronto ",43.764438899999995,-79.2885842,650.0
191,510000," 39 Sherbourne St, Toronto ",43.6510891,-79.3679085,550.0
193,865000,"15 Shadowbrook Dr, Toronto ",43.6597958,-79.54877509999999,1300.0
194,499900," 3091 Dufferin St, Toronto ",43.715861600000004,-79.45421800000001,550.0
195,590000," 875 Queen St E, Toronto ",43.6600075,-79.3432223,650.0
199,785000," 5 St Joseph St, Toronto ",43.6657528,-79.3855792,750.0
201,1010000," 1888 Bayview Ave, Toronto ",43.7173741,-79.37867320000001,950.0
202,787000," 5 Rosehill Ave, Toronto ",43.686152500000006,-79.39287409999999,750.0
203,480000," 208 Queens Quay W, Toronto ",43.639954700000004,-79.382025,550.0
205,1912000,"32 Purdon Dr, Toronto ",43.7662304,-79.4632252,3250.0
207,405000," 150 Alton Towers Cir, Toronto ",43.825976700000005,-79.27440859999999,1100.0
208,975000," 300 Front St W, Toronto ",43.6441737,-79.3894209,850.0
211,3200000,"10 Orrell Ave, Toronto ",43.6565366,-79.53112259999999,4250.0
212,667700," 260 Queens Quay W, Toronto ",43.6393203,-79.3857232,850.0
213,219000," 235 Grandravine Dr, Toronto ",43.7485076,-79.5059333,650.0
215,610000," 205 Frederick St, Toronto ",43.6517211,-79.369404,550.0
216,526000," 53 Mccaul St, Toronto ",43.652282799999995,-79.3903646,750.0
217,2200000,"7 Cardigan Rd, Toronto ",43.6372283,-79.5195291,2750.0
218,443000," 68 Canterbury Pl, Toronto ",43.77379929999999,-79.4155204,550.0
219,566000," 150 Sudbury St, Toronto ",43.6415328,-79.4240715,750.0
221,475500," 270 Scarlett Rd, Toronto ",43.6773071,-79.5069852,850.0
222,440000," 797 Don Mills Rd, Toronto ",43.719448799999995,-79.33766640000002,650.0
224,430000," 10 Edgecliff Gfwy, Toronto ",43.7185565,-79.3262896,1100.0
226,718000," 633 Bay St, Toronto ",43.656674,-79.3834432,1100.0
229,435000," 2351 Kennedy Rd, Toronto ",43.784732700000006,-79.2881438,950.0
230,586000," 330 Adelaide St E, Toronto ",43.6522277,-79.3692699,750.0
231,1310000,"68 Royalavon Cres, Toronto ",43.6465994,-79.5345875,2750.0
232,503000," 36 Gibson Ave, Toronto ",43.7011607,-79.5068557,1300.0
233,667700," 260 Queens Quay W, Toronto ",43.6393203,-79.3857232,850.0
234,968000," 832 Bay St, Toronto ",43.661927,-79.3865112,850.0
235,610000," 205 Frederick St, Toronto ",43.6517211,-79.369404,550.0
237,3200000,"10 Orrell Ave, Toronto ",43.6565366,-79.53112259999999,4250.0
240,1458000," 10 Bloorview Pl, Toronto ",43.7734963,-79.3589637,1900.0
241,673000," 550 Queens Quay W, Toronto ",43.6368544,-79.39662009999999,850.0
242,546000," 10 Tangreen Crt, Toronto ",43.7958866,-79.4270483,1300.0
243,725000," 88 Harbour St, Toronto ",43.6419035,-79.379113,650.0
246,2200000,"7 Cardigan Rd, Toronto ",43.6372283,-79.5195291,2750.0
247,526000," 53 Mccaul St, Toronto ",43.652282799999995,-79.3903646,750.0
249,219000," 235 Grandravine Dr, Toronto ",43.7485076,-79.5059333,650.0
250,718000," 633 Bay St, Toronto ",43.656674,-79.3834432,1100.0
253,440000," 797 Don Mills Rd, Toronto ",43.719448799999995,-79.33766640000002,650.0
254,1912000,"32 Purdon Dr, Toronto ",43.7662304,-79.4632252,3250.0
256,550000," 5765 Yonge St, Toronto ",43.783110799999996,-79.4151998,1100.0
257,486000," 511 The West Mall Dr, Toronto ",43.6502088,-79.56850940000001,1500.0
258,975000," 300 Front St W, Toronto ",43.6441737,-79.3894209,850.0
259,480000," 208 Queens Quay W, Toronto ",43.639954700000004,-79.382025,550.0
262,435000," 2351 Kennedy Rd, Toronto ",43.784732700000006,-79.2881438,950.0
263,443000," 68 Canterbury Pl, Toronto ",43.77379929999999,-79.4155204,550.0
264,673000," 550 Queens Quay W, Toronto ",43.6368544,-79.39662009999999,850.0
265,440000," 2835 Islington Ave, Toronto ",43.7500359,-79.5673777,1300.0
266,486000," 511 The West Mall Dr, Toronto ",43.6502088,-79.56850940000001,1500.0
267,2200000,"7 Cardigan Rd, Toronto ",43.6372283,-79.5195291,2750.0
268,546000," 10 Tangreen Crt, Toronto ",43.7958866,-79.4270483,1300.0
269,1310000,"68 Royalavon Cres, Toronto ",43.6465994,-79.5345875,2750.0
271,667700," 260 Queens Quay W, Toronto ",43.6393203,-79.3857232,850.0
273,487000," 5 Valhalla Inn Rd, Toronto ",43.6402846,-79.5598172,750.0
275,377000," 3151 Bridletowne Cir, Toronto ",43.7976705,-79.3198853,1500.0
277,440000," 797 Don Mills Rd, Toronto ",43.719448799999995,-79.33766640000002,650.0
284,1912000,"32 Purdon Dr, Toronto ",43.7662304,-79.4632252,3250.0
285,405000," 150 Alton Towers Cir, Toronto ",43.825976700000005,-79.27440859999999,1100.0
287,740000," 21 Carlton St, Toronto ",43.6611027,-79.3821061,850.0
289,459900," 3077 Weston Rd N, Toronto ",43.7323456,-79.5369412,1100.0
290,440000," 177 Linus Rd, Toronto ",43.7913153,-79.35724809999999,950.0
293,573000," 7 Concorde Pl, Toronto ",43.730692700000006,-79.32731940000001,1500.0
294,555000," 38 Joe Shuster Way, Toronto ",43.6405881,-79.42482740000001,650.0
295,840000," 105 George St, Toronto ",43.65221029999999,-79.3707988,850.0
296,561000," 60 Brian Harrison Way, Toronto ",43.774003,-79.2575808,850.0
298,1807500," 217 Roslin Ave, Toronto ",43.7314885,-79.3927308,2750.0
299,415000," 1 Leaside Park Dr, Toronto ",43.70253889999999,-79.35157199999999,750.0
300,735000," 33 Shore Breeze Dr, Toronto ",43.62399979999999,-79.4797257,850.0
301,422450," 2522 Keele St, Toronto ",43.715099,-79.4797923,550.0
303,538000," 110 Charles St E, Toronto ",43.6701589,-79.3803887,550.0
304,334000," 80 Esther Lorrie Dr, Toronto ",43.731744,-79.5772925,550.0
307,696000,"113 Jenny Wrenway Way, Toronto ",43.8100859,-79.3640897,1700.0
309,390000," 8 Rosebank Dr, Toronto ",43.792276799999996,-79.2366362,750.0
310,512000," 55 Ann O'reilly Rd, Toronto ",43.7739128,-79.32935920000001,650.0
311,720000," 18 Graydon Hall Dr, Toronto ",43.762714200000005,-79.3464237,1300.0
313,526000," 2 Valhalla Inn Rd, Toronto ",43.6418184,-79.5595537,1300.0
314,435000," 52 Forest Manor Rd E, Toronto ",43.773013399999996,-79.3458926,550.0
315,740000," 21 Carlton St, Toronto ",43.6611027,-79.3821061,850.0
316,525000," 508 Wellington St, Toronto ",43.643324799999995,-79.39914959999999,550.0
318,673000," 70 Forest Manor Rd, Toronto ",43.7751232,-79.3454556,1100.0
319,1360000,"15 Glenmount Park Rd, Toronto ",43.6781869,-79.3039717,1300.0
321,430000," 330 Mccowan Rd, Toronto ",43.737552,-79.238353,1100.0
322,1019000,"60 Sellers Ave, Toronto ",43.682622200000004,-79.4463144,1750.0
324,607000,"73 East Ave, Toronto ",43.7816708,-79.131743,1500.0
325,1270000,"30 Bearbury Dr, Toronto ",43.6339185,-79.5734917,1300.0
326,419000," 36 Lisgar St, Toronto ",43.6419833,-79.42324980000001,650.0
327,459900," 3077 Weston Rd N, Toronto ",43.7323456,-79.5369412,1100.0
328,338000," 2500 Bridletowne Cir, Toronto ",43.801356,-79.3178165,750.0
329,650000," 111 Elizabeth St, Toronto ",43.6550554,-79.3847211,650.0
331,512000," 55 Ann O'reilly Rd, Toronto ",43.7739128,-79.32935920000001,650.0
335,602500," 783 Bathurst St, Toronto ",43.664579499999995,-79.4106917,550.0
336,660000," 8 Mercer St, Toronto ",43.6460058,-79.38990849999999,550.0
339,571000," 100 Upper Madison Ave, Toronto ",43.7641932,-79.4127583,950.0
342,1360000,"15 Glenmount Park Rd, Toronto ",43.6781869,-79.3039717,1300.0
344,720000," 18 Graydon Hall Dr, Toronto ",43.762714200000005,-79.3464237,1300.0
346,617000," 5162 Yonge St, Toronto ",43.7696635,-79.413783,550.0
347,600000," 15 Singer Crt, Toronto ",43.7694863,-79.36892009999998,850.0
349,1270000,"30 Bearbury Dr, Toronto ",43.6339185,-79.5734917,1300.0
350,338900," 1250 Bridletowne Cir, Toronto ",43.794462599999996,-79.3127827,950.0
351,512000," 55 Ann O'reilly Rd, Toronto ",43.7739128,-79.32935920000001,650.0
352,338000," 2500 Bridletowne Cir, Toronto ",43.801356,-79.3178165,750.0
353,462000," 5 Emerald Lane, Vaughan ",43.794185600000006,-79.43981120000001,750.0
354,309000," 100 Dundalk Dr, Toronto ",43.7702669,-79.28714690000001,750.0
355,509000," 11 Superior Ave, Toronto ",43.6152292,-79.48894859999999,750.0
356,430000," 330 Mccowan Rd, Toronto ",43.737552,-79.238353,1100.0
358,1019000,"60 Sellers Ave, Toronto ",43.682622200000004,-79.4463144,1750.0
360,569500," 703 Burnhamthorpe Rd, Toronto ",43.6417745,-79.5798563,1300.0
361,1150000,"95 Brooklyn Ave, Toronto ",43.6652559,-79.3369293,1300.0
362,562000," 50 Brian Harrison Way, Toronto ",43.773709000000004,-79.25877009999999,850.0
365,448500," 700 Humberwood Blvd, Toronto ",43.724568,-79.6160904,750.0
366,402500," 710 Humberwood Blvd, Toronto ",43.7246581,-79.61542779999999,650.0
367,696000,"113 Jenny Wrenway Way, Toronto ",43.8100859,-79.3640897,1700.0
370,607000,"73 East Ave, Toronto ",43.7816708,-79.131743,1500.0
372,1060000,"188 Courcelette Rd, Toronto ",43.6812949,-79.2803415,1300.0
376,433500," 3520 Danforth Ave, Toronto ",43.6946819,-79.27341440000001,550.0
377,390000," 8 Rosebank Dr, Toronto ",43.792276799999996,-79.2366362,750.0
379,617000," 5162 Yonge St, Toronto ",43.7696635,-79.413783,550.0
381,338000," 2500 Bridletowne Cir, Toronto ",43.801356,-79.3178165,750.0
384,1019000,"60 Sellers Ave, Toronto ",43.682622200000004,-79.4463144,1750.0
385,675000," 1 The Esplanade, Toronto ",43.6458091,-79.3756819,650.0
386,615000," 2200 Lake Shore Blvd W, Toronto ",43.6227486,-79.481943,750.0
387,555000," 38 Joe Shuster Way, Toronto ",43.6405881,-79.42482740000001,650.0
388,840000," 105 George St, Toronto ",43.65221029999999,-79.3707988,850.0
390,735000," 33 Shore Breeze Dr, Toronto ",43.62399979999999,-79.4797257,850.0
392,1807500," 217 Roslin Ave, Toronto ",43.7314885,-79.3927308,2750.0
393,415000," 1 Leaside Park Dr, Toronto ",43.70253889999999,-79.35157199999999,750.0
394,380000," 10 Markbrook Lane, Toronto ",43.7590096,-79.58856850000001,1100.0
395,538000," 110 Charles St E, Toronto ",43.6701589,-79.3803887,550.0
396,1260000,"1B Heathdale Rd, Toronto ",43.68899129999999,-79.42095400000001,1750.0
399,1270000,"30 Bearbury Dr, Toronto ",43.6339185,-79.5734917,1300.0
401,720000," 18 Graydon Hall Dr, Toronto ",43.762714200000005,-79.3464237,1300.0
402,390000," 88 Corporate Dr, Toronto ",43.780897100000004,-79.2498304,750.0
404,1360000,"15 Glenmount Park Rd, Toronto ",43.6781869,-79.3039717,1300.0
406,571000," 100 Upper Madison Ave, Toronto ",43.7641932,-79.4127583,950.0
408,380000," 10 Markbrook Lane, Toronto ",43.7590096,-79.58856850000001,1100.0
410,1377000,"80 Logan Ave, Toronto ",43.65651389999999,-79.3410593,1750.0
411,729900," 58 Marine Parade Dr, Toronto ",43.6276596,-79.47698000000001,850.0
412,520000," 50 Silverbell Grve, Toronto ",43.804075899999994,-79.2164256,1100.0
413,514200," 60 Town Centre Crt, Toronto ",43.7733444,-79.2561489,850.0
414,672100," 70 Distillery Lane, Toronto ",43.6503953,-79.3581104,750.0
415,537000," 33 Harbour Sq, Toronto ",43.6399033,-79.3771893,550.0
416,1480000,"25A Elford Blvd, Toronto ",43.6315105,-79.5163656,2750.0
417,635000," 300 Front St, Toronto ",43.6441737,-79.3894209,650.0
418,525000," 2 Valhalla Inn Rd, Toronto ",43.6418184,-79.5595537,1300.0
419,786500," 125 Western Battery Rd, Toronto ",43.639825,-79.4164156,850.0
423,799000," 700 King St W, Toronto ",43.64405870000001,-79.40331040000001,950.0
424,874800," 88 Scott St, Toronto ",43.6483688,-79.37660129999999,750.0
425,1555000,"41 Nairn Ave, Toronto ",43.6779289,-79.448936,3250.0
426,474000," 2460 Eglinton Ave E, Toronto ",43.7342567,-79.2628949,1100.0
427,433000," 11 Superior Ave, Toronto ",43.6152292,-79.48894859999999,550.0
428,215000," 5 Frith Rd, Toronto ",43.7459167,-79.5157256,750.0
429,792500," 397 Front St W, Toronto ",43.642653,-79.3934868,850.0
431,551000," 231 Fort York Blvd, Toronto ",43.6366747,-79.40647,550.0
432,856000," 32 Trolley Cres, Toronto ",43.6565369,-79.3544975,950.0
434,650000," 1200 Don Mills Rd, Toronto ",43.7391143,-79.3444729,1100.0
435,551000," 231 Fort York Blvd, Toronto ",43.6366747,-79.40647,550.0
436,564000," 89 Mcgill St, Toronto ",43.6606054,-79.37863540000001,250.0
437,527800," 28 Olive Ave, Toronto ",43.77932070000001,-79.4137118,650.0
439,1220000,"989 St Clarens Ave, Toronto ",43.6733361,-79.44779559999999,2250.0
440,635000," 300 Front St, Toronto ",43.6441737,-79.3894209,650.0
441,835000," 530 Indian Grve, Toronto ",43.663261,-79.468389,1100.0
442,464900," 44 St. Joseph St, Toronto ",43.6660964,-79.3873217,550.0
443,472000," 15 Windermere Ave, Toronto ",43.6369251,-79.4690573,550.0
445,762000," 330 Adelaide St E, Toronto ",43.6522277,-79.3692699,1100.0
446,1377000,"80 Logan Ave, Toronto ",43.65651389999999,-79.3410593,1750.0
447,357000," 10 Sunny Glen Way, Toronto ",43.710003,-79.33113440000001,750.0
449,520000," 50 Silverbell Grve, Toronto ",43.804075899999994,-79.2164256,1100.0
450,625000," 71 Simcoe St, Toronto ",43.646642299999996,-79.3855088,850.0
451,474000," 2460 Eglinton Ave E, Toronto ",43.7342567,-79.2628949,1100.0
452,874800," 88 Scott St, Toronto ",43.6483688,-79.37660129999999,750.0
453,514200," 60 Town Centre Crt, Toronto ",43.7733444,-79.2561489,850.0
454,1500000," 180 University Ave, Toronto ",43.648953000000006,-79.3857683,1100.0
456,672100," 70 Distillery Lane, Toronto ",43.6503953,-79.3581104,750.0
457,856000," 32 Trolley Cres, Toronto ",43.6565369,-79.3544975,950.0
460,464900," 44 St. Joseph St, Toronto ",43.6660964,-79.3873217,550.0
462,630000," 2015 Sheppard Ave E, Toronto ",43.7754094,-79.3374852,850.0
463,450000," 100 Antibes Dr, Toronto ",43.7804828,-79.4470506,1100.0
464,460000," 88 Sheppard Ave E, Toronto ",43.7640292,-79.40704170000001,550.0
465,874800," 88 Scott St, Toronto ",43.6483688,-79.37660129999999,750.0
467,661000,"230 Oakridge Dr, Toronto ",43.7338988,-79.226823,1300.0
468,780000,"33 Waterbridge Way, Toronto ",43.7725657,-79.14042950000001,1750.0
469,527800," 28 Olive Ave, Toronto ",43.77932070000001,-79.4137118,650.0
470,1377000,"80 Logan Ave, Toronto ",43.65651389999999,-79.3410593,1750.0
472,792500," 397 Front St W, Toronto ",43.642653,-79.3934868,850.0
473,490000," 150 Neptune Dr, Toronto ",43.7297283,-79.44193620000001,1300.0
474,357000," 10 Sunny Glen Way, Toronto ",43.710003,-79.33113440000001,750.0
476,772500," 70 Mill St, Toronto ",43.6510546,-79.3590608,1100.0
478,419000," 17 Zorra St, Toronto ",43.62113370000001,-79.52121149999999,250.0
479,1150000," 21 Grand Magazine St, Toronto ",43.6364097,-79.40200340000001,1300.0
480,433000," 11 Superior Ave, Toronto ",43.6152292,-79.48894859999999,550.0
481,599000,"167 Huntingdale Blvd, Toronto ",43.7965016,-79.3216626,1100.0
482,450000," 100 Antibes Dr, Toronto ",43.7804828,-79.4470506,1100.0
483,551000," 231 Fort York Blvd, Toronto ",43.6366747,-79.40647,550.0
484,755000," 60 Heintzman St, Toronto ",43.666864600000004,-79.46448149999999,1100.0
485,464900," 44 St. Joseph St, Toronto ",43.6660964,-79.3873217,550.0
486,1150000," 21 Grand Magazine St, Toronto ",43.6364097,-79.40200340000001,1300.0
487,818888,"289 Codsell Ave, Toronto ",43.753800399999996,-79.4604521,1750.0
489,650440," 383 Ellis Park Rd, Toronto ",43.6520396,-79.4708348,650.0
490,672100," 70 Distillery Lane, Toronto ",43.6503953,-79.3581104,750.0
491,856000," 32 Trolley Cres, Toronto ",43.6565369,-79.3544975,950.0
493,1555000,"41 Nairn Ave, Toronto ",43.6779289,-79.448936,3250.0
494,357000," 10 Sunny Glen Way, Toronto ",43.710003,-79.33113440000001,750.0
495,419000," 17 Zorra St, Toronto ",43.62113370000001,-79.52121149999999,250.0
496,1500000," 180 University Ave, Toronto ",43.648953000000006,-79.3857683,1100.0
497,493000," 50 Ann O'reilly Rd, Toronto ",43.7746881,-79.3300007,650.0
499,466000," 115 Omni Dr, Toronto ",43.7713861,-79.2607673,1100.0
500,325000," 430 Mclevin Ave, Toronto ",43.810157200000006,-79.2211035,850.0
501,629000," 265 Ridley Blvd, Toronto ",43.7394993,-79.4242244,1100.0
