,Price,Address,Latitude,Longitude,Venues,Sqft
104,"1,240,000","131 Palmerston Ave, Toronto ",43.6507544,-79.4078639,50,1300
105,"1,300,000","110 Walpole Ave, Toronto ",43.6751637,-79.3248975,32,1750
106,"760,000"," 701 Sheppard Ave W, Toronto ",43.7542374,-79.4432703,22,1100
107,"582,000"," 125 Village Green Sq, Toronto ",43.7774482,-79.2810949,20,1750
108,"570,000","737 Craven Rd, Toronto ",43.6759032,-79.3224933,28,650
109,"580,000"," 8 York St, Toronto ",43.6406456,-79.380939,100,1100
110,"715,000","24 Damask Ave, Toronto ",43.7423346,-79.5386758,6,650
111,"725,500"," 120 Homewood Ave, Toronto ",43.66703,-79.3763862,57,950
112,"545,000"," 431 Silverstone Dr, Toronto ",43.7428606,-79.6001328,6,650
113,"1,400,000","6 Sumner Heights Dr, Toronto ",43.778941,-79.3899116,1,750
114,"395,000"," 10 Markbrook Lane, Toronto ",43.7590096,-79.5885685,4,550
115,"1,600,100","45 Tullis Dr, Toronto ",43.7022545,-79.3961571,29,550
116,"760,000"," 352 Front St, Toronto ",43.6432542,-79.3924143,72,550
117,"1,050,000","88 Somerset Ave, Toronto ",43.6740267,-79.4321103,14,1750
118,"510,000"," 39 Sherbourne St, Toronto ",43.6510891,-79.3679085,67,750
119,"630,000","3 White Ave, Toronto ",43.6675892,-79.4926611,18,550
120,"680,000","19 Stavely Ave, Toronto ",43.7321352,-79.2476479,8,1750
121,"785,000"," 5 St Joseph St, Toronto ",43.6657528,-79.3855792,69,550
122,"368,000"," 8 Mondeo Dr, Toronto ",43.7644389,-79.2885842,11,1100
123,"704,000","297 Kane Ave, Toronto ",43.6882084,-79.4688543,6,1100
124,"901,000","350 Melita Ave, Toronto ",43.6738501,-79.4258779,17,750
125,"4,690,000","10 Baytree Cres, Toronto ",43.7538599,-79.3864851,3,250
126,"535,000"," 103 The Queensway Ave, Toronto ",43.6362926,-79.4704628,17,1100
127,"408,000"," 36 Lisgar St, Toronto ",43.6419833,-79.4232498,87,650
128,"365,000"," 100 Echo Pt, Toronto ",43.798613,-79.3147261,13,950
129,"598,000","1127 Finch Ave E, Toronto ",43.7912268,-79.3610271,8,1500
130,"589,000"," 835 St. Clair Ave W, Toronto ",43.6801738,-79.4318203,33,650
131,"731,000",,33.791638,-84.389488,35,550
132,"916,000","164A Edmonton Dr, Toronto ",43.7893838,-79.3414405,2,1300
133,"1,600,100","45 Tullis Dr, Toronto ",43.7022545,-79.3961571,29,550
134,"750,000","43 Patika Ave, Toronto ",43.7046359,-79.5057795,8,650
135,"499,900"," 3091 Dufferin St, Toronto ",43.7158616,-79.454218,16,750
136,"540,000"," 88 Harbour St, Toronto ",43.6419035,-79.379113,98,950
137,"865,000","15 Shadowbrook Dr, Toronto ",43.6597958,-79.5487751,2,750
138,"2,164,000","239 Ruth Ave, Toronto ",43.7925144,-79.4001203,5,550
139,"1,215,000","109 Rhodes Ave, Toronto ",43.6688403,-79.3185567,34,3250
140,"830,000","183 Belgravia Ave, Toronto ",43.6977974,-79.4472484,14,1100
141,"340,000"," 380 Dixon Rd, Toronto ",43.6952016,-79.5567,13,850
142,"900,000","20 Edenmills Dr, Toronto ",43.7930194,-79.2116515,2,4250
143,"790,000","124 Ardwick Blvd, Toronto ",43.745088,-79.5589172,6,850
144,"368,000"," 8 Mondeo Dr, Toronto ",43.7644389,-79.2885842,11,650
145,"770,000","14 Pylon Pl, Toronto ",43.7173529,-79.5476335,1,550
146,"450,017"," 5 Old Sheppard Ave, Toronto ",43.7772704,-79.3368302,11,750
147,"481,000"," 205 Sherway Gardens Rd, Toronto ",43.6092724,-79.557008,41,2750
148,"665,000"," 3 Rean Dr, Toronto ",43.7653793,-79.383017,28,550
149,"680,000"," 8 The Esplanade Ave, Toronto ",43.6461582,-79.3764182,100,750
150,"760,000"," 352 Front St, Toronto ",43.6432542,-79.3924143,72,850
151,"547,000"," 228 Queens Quay W, Toronto ",43.6395431,-79.3836248,100,650
152,"430,000"," 1040 The Queensway, Toronto ",43.6234147,-79.5166562,21,1100
153,"820,000","674 Rhodes Ave, Toronto ",43.6814635,-79.3242582,30,1100
154,"510,000"," 39 Sherbourne St, Toronto ",43.6510891,-79.3679085,67,950
155,"790,000","124 Ardwick Blvd, Toronto ",43.745088,-79.5589172,6,750
156,"645,000"," 80 Western Battery Rd, Toronto ",43.6396224,-79.4146051,27,2750
157,"755,000","40 Red Hawk Rd, Toronto ",43.8167264,-79.2223043,3,1300
158,"470,500"," 630 Kingston Rd, Toronto ",43.6789026,-79.298997,10,850
159,"740,000","47 Fieldside Dr, Toronto ",43.8171929,-79.2646216,5,850
160,"830,000","183 Belgravia Ave, Toronto ",43.6977974,-79.4472484,14,550
161,"936,000","31 Fuller Ave, Toronto ",43.6411477,-79.439277,42,4250
162,"499,900"," 3091 Dufferin St, Toronto ",43.7158616,-79.454218,16,1900
163,"450,017"," 5 Old Sheppard Ave, Toronto ",43.7772704,-79.3368302,11,850
164,"770,000","14 Pylon Pl, Toronto ",43.7173529,-79.5476335,1,1300
165,"2,775,000","123 Joicey Blvd, Toronto ",43.7369122,-79.416014,23,650
166,"505,000"," 371 Orton Park Rd, Toronto ",43.7794382,-79.2153531,4,2750
167,"785,000"," 5 St Joseph St, Toronto ",43.6657528,-79.3855792,69,750
168,"4,690,000","10 Baytree Cres, Toronto ",43.7538599,-79.3864851,3,650
169,"408,000"," 36 Lisgar St, Toronto ",43.6419833,-79.4232498,87,1100
170,"788,500","18 Logstone Cres, Toronto ",43.787218,-79.2182614,1,650
171,"976,000"," 35 Boardwalk Dr, Toronto ",43.6645133,-79.3080881,15,3250
172,"481,000"," 205 Sherway Gardens Rd, Toronto ",43.6092724,-79.557008,41,1100
173,"637,000","56 Horseley Hill Dr, Toronto ",43.8080517,-79.2298497,5,1500
174,"1,010,000"," 1888 Bayview Ave, Toronto ",43.7173741,-79.3786732,4,850
175,"615,000"," 3000 Midland Ave, Toronto ",43.8028015,-79.2860837,19,550
176,"368,000"," 8 Mondeo Dr, Toronto ",43.7644389,-79.2885842,11,950
177,"510,000"," 39 Sherbourne St, Toronto ",43.6510891,-79.3679085,67,550
178,"740,000","47 Fieldside Dr, Toronto ",43.8171929,-79.2646216,5,850
179,"865,000","15 Shadowbrook Dr, Toronto ",43.6597958,-79.5487751,2,1300
180,"499,900"," 3091 Dufferin St, Toronto ",43.7158616,-79.454218,16,1500
181,"590,000"," 875 Queen St E, Toronto ",43.6600075,-79.3432223,50,2750
182,"900,000","20 Edenmills Dr, Toronto ",43.7930194,-79.2116515,2,1300
183,"901,000","350 Melita Ave, Toronto ",43.6738501,-79.4258779,17,2750
184,"785,000"," 5 St Joseph St, Toronto ",43.6657528,-79.3855792,69,850
185,"630,000","3 White Ave, Toronto ",43.6675892,-79.4926611,18,750
186,"1,010,000"," 1888 Bayview Ave, Toronto ",43.7173741,-79.3786732,4,1500
187,"787,000"," 5 Rosehill Ave, Toronto ",43.6861525,-79.3928741,67,650
188,"480,000"," 208 Queens Quay W, Toronto ",43.6399547,-79.382025,100,3250
189,"875,000","4 Murdock Ave, Toronto ",43.6829476,-79.31733,21,1100
190,"1,912,000","32 Purdon Dr, Toronto ",43.7662304,-79.4632252,4,850
191,"651,100","55 Dowswell Dr, Toronto ",43.794874,-79.221434,7,1100
192,"405,000"," 150 Alton Towers Cir, Toronto ",43.8259767,-79.2744086,11,950
193,"975,000"," 300 Front St W, Toronto ",43.6441737,-79.3894209,63,1500
194,"765,000","66 Lexington Ave, Toronto ",43.7450372,-79.6018876,6,650
195,"880,000","32 Hertford Ave, Toronto ",43.6886334,-79.4784379,7,850
196,"3,200,000","10 Orrell Ave, Toronto ",43.6565366,-79.5311226,3,850
197,"667,700"," 260 Queens Quay W, Toronto ",43.6393203,-79.3857232,100,2750
198,"219,000"," 235 Grandravine Dr, Toronto ",43.7485076,-79.5059333,5,750
199,"2,075,000","9 Farningham Cres, Toronto ",43.6703527,-79.5491974,4,850
200,"610,000"," 205 Frederick St, Toronto ",43.6517211,-79.369404,47,550
201,"526,000"," 53 Mccaul St, Toronto ",43.6522828,-79.3903646,94,550
202,"2,200,000","7 Cardigan Rd, Toronto ",43.6372283,-79.5195291,9,550
203,"443,000"," 68 Canterbury Pl, Toronto ",43.7737993,-79.4155204,49,1700
204,"566,000"," 150 Sudbury St, Toronto ",43.6415328,-79.4240715,81,750
205,"815,500","69 Tedford Dr, Toronto ",43.7398886,-79.2982503,4,650
206,"475,500"," 270 Scarlett Rd, Toronto ",43.6773071,-79.5069852,5,1300
207,"440,000"," 797 Don Mills Rd, Toronto ",43.7194488,-79.3376664,16,1300
208,"1,070,000","236 Ingleton Blvd, Toronto ",43.8254793,-79.266764,6,550
209,"430,000"," 10 Edgecliff Gfwy, Toronto ",43.7185565,-79.3262896,4,850
210,"765,000","66 Lexington Ave, Toronto ",43.7450372,-79.6018876,6,550
211,"718,000"," 633 Bay St, Toronto ",43.656674,-79.3834432,80,1100
212,"735,000","127 Shady Hollow Dr, Toronto ",43.8232378,-79.2662024,7,1300
213,"1,005,605","20 Kilkenny Dr, Toronto ",43.7846461,-79.3187629,3,1100
214,"435,000"," 2351 Kennedy Rd, Toronto ",43.7847327,-79.2881438,26,1750
215,"586,000"," 330 Adelaide St E, Toronto ",43.6522277,-79.3692699,44,1500
216,"1,310,000","68 Royalavon Cres, Toronto ",43.6465994,-79.5345875,12,1300
217,"503,000"," 36 Gibson Ave, Toronto ",43.7011607,-79.5068557,9,650
218,"667,700"," 260 Queens Quay W, Toronto ",43.6393203,-79.3857232,100,1100
219,"968,000"," 832 Bay St, Toronto ",43.661927,-79.3865112,39,750
220,"610,000"," 205 Frederick St, Toronto ",43.6517211,-79.369404,47,650
221,"910,000","245 Springdale Blvd, Toronto ",43.6881929,-79.3205236,10,650
222,"3,200,000","10 Orrell Ave, Toronto ",43.6565366,-79.5311226,3,550
223,"875,000","4 Murdock Ave, Toronto ",43.6829476,-79.31733,21,550
224,"1,458,000"," 10 Bloorview Pl, Toronto ",43.7734963,-79.3589637,3,950
225,"673,000"," 550 Queens Quay W, Toronto ",43.6368544,-79.3966201,30,1300
226,"546,000"," 10 Tangreen Crt, Toronto ",43.7958866,-79.4270483,34,1300
227,"725,000"," 88 Harbour St, Toronto ",43.6419035,-79.379113,98,550
228,"795,000","1233 Pharmacy Ave, Toronto ",43.7486435,-79.3063932,2,850
229,"2,200,000","7 Cardigan Rd, Toronto ",43.6372283,-79.5195291,9,1300
230,"526,000"," 53 Mccaul St, Toronto ",43.6522828,-79.3903646,94,950
231,"815,500","69 Tedford Dr, Toronto ",43.7398886,-79.2982503,4,650
232,"219,000"," 235 Grandravine Dr, Toronto ",43.7485076,-79.5059333,5,750
233,"718,000"," 633 Bay St, Toronto ",43.656674,-79.3834432,80,750
234,"985,000","99 Glebemount Ave, Toronto ",43.6875989,-79.3186419,19,750
235,"1,005,605","20 Kilkenny Dr, Toronto ",43.7846461,-79.3187629,3,750
236,"440,000"," 797 Don Mills Rd, Toronto ",43.7194488,-79.3376664,16,1100
237,"1,912,000","32 Purdon Dr, Toronto ",43.7662304,-79.4632252,4,1750
238,"765,000","66 Lexington Ave, Toronto ",43.7450372,-79.6018876,6,1300
239,"550,000"," 5765 Yonge St, Toronto ",43.7831108,-79.4151998,33,1300
240,"486,000"," 511 The West Mall Dr, Toronto ",43.6502088,-79.5685094,4,850
241,"975,000"," 300 Front St W, Toronto ",43.6441737,-79.3894209,63,750
242,"480,000"," 208 Queens Quay W, Toronto ",43.6399547,-79.382025,100,650
243,"910,000","245 Springdale Blvd, Toronto ",43.6881929,-79.3205236,10,1700
244,"1,070,000","236 Ingleton Blvd, Toronto ",43.8254793,-79.266764,6,1500
245,"435,000"," 2351 Kennedy Rd, Toronto ",43.7847327,-79.2881438,26,1300
246,"443,000"," 68 Canterbury Pl, Toronto ",43.7737993,-79.4155204,49,550
247,"673,000"," 550 Queens Quay W, Toronto ",43.6368544,-79.3966201,30,750
248,"440,000"," 2835 Islington Ave, Toronto ",43.7500359,-79.5673777,2,550
249,"486,000"," 511 The West Mall Dr, Toronto ",43.6502088,-79.5685094,4,750
250,"2,200,000","7 Cardigan Rd, Toronto ",43.6372283,-79.5195291,9,1750
251,"546,000"," 10 Tangreen Crt, Toronto ",43.7958866,-79.4270483,34,650
252,"1,310,000","68 Royalavon Cres, Toronto ",43.6465994,-79.5345875,12,750
253,"815,500","69 Tedford Dr, Toronto ",43.7398886,-79.2982503,4,650
254,"667,700"," 260 Queens Quay W, Toronto ",43.6393203,-79.3857232,100,850
255,"487,000"," 5 Valhalla Inn Rd, Toronto ",43.6402846,-79.5598172,6,850
256,"651,100","55 Dowswell Dr, Toronto ",43.794874,-79.221434,7,2750
257,"377,000"," 3151 Bridletowne Cir, Toronto ",43.7976705,-79.3198853,13,750
258,"795,000","1233 Pharmacy Ave, Toronto ",43.7486435,-79.3063932,2,1100
259,"440,000"," 797 Don Mills Rd, Toronto ",43.7194488,-79.3376664,16,550
260,"1,070,000","236 Ingleton Blvd, Toronto ",43.8254793,-79.266764,6,1750
261,"2,075,000","9 Farningham Cres, Toronto ",43.6703527,-79.5491974,4,1300
262,"1,005,605","20 Kilkenny Dr, Toronto ",43.7846461,-79.3187629,3,1300
263,"950,000","6 Roseheath Ave, Toronto ",43.6811732,-79.3170405,15,750
264,"765,000","66 Lexington Ave, Toronto ",43.7450372,-79.6018876,6,1300
265,"950,000","6 Cambrai Ave, Toronto ",43.6960276,-79.3085503,4,950
266,"1,912,000","32 Purdon Dr, Toronto ",43.7662304,-79.4632252,4,1100
267,"405,000"," 150 Alton Towers Cir, Toronto ",43.8259767,-79.2744086,11,1750
268,"710,000","118 Crow Tr, Toronto ",43.8140187,-79.2292769,3,850
269,"740,000"," 21 Carlton St, Toronto ",43.6611027,-79.3821061,85,1100
270,"1,352,875","14 Yewfield Cres, Toronto ",43.7491257,-79.3460936,7,850
271,"459,900"," 3077 Weston Rd N, Toronto ",43.7323456,-79.5369412,4,750
272,"440,000"," 177 Linus Rd, Toronto ",43.7913153,-79.3572481,11,550
273,"1,725,750","26 Aldenham Cres, Toronto ",43.7505659,-79.3291504,3,2750
274,"710,000","38 Loradeen Cres, Toronto ",43.8144637,-79.2337438,4,650
275,"573,000"," 7 Concorde Pl, Toronto ",43.7306927,-79.3273194,5,1300
276,"555,000"," 38 Joe Shuster Way, Toronto ",43.6405881,-79.4248274,85,850
277,"840,000"," 105 George St, Toronto ",43.6522103,-79.3707988,68,950
278,"561,000"," 60 Brian Harrison Way, Toronto ",43.774003,-79.2575808,45,750
279,"1,901,000","11 Fernwood Rd, Toronto ",43.7044377,-79.4358191,9,3250
280,"1,807,500"," 217 Roslin Ave, Toronto ",43.7314885,-79.3927308,1,1100
281,"415,000"," 1 Leaside Park Dr, Toronto ",43.7025389,-79.351572,16,550
282,"735,000"," 33 Shore Breeze Dr, Toronto ",43.6239998,-79.4797257,16,750
283,"422,450"," 2522 Keele St, Toronto ",43.715099,-79.4797923,4,850
284,"705,000","29 Kilpatrick Dr, Toronto ",43.7384321,-79.2903234,4,550
285,"538,000"," 110 Charles St E, Toronto ",43.6701589,-79.3803887,90,950
286,"334,000"," 80 Esther Lorrie Dr, Toronto ",43.731744,-79.5772925,4,1100
287,"978,000","92 Ambercroft Blvd, Toronto ",43.8134481,-79.3145812,0,550
288,"790,000","7 Bucksburn Rd, Toronto ",43.7489434,-79.6004834,4,250
289,"696,000","113 Jenny Wrenway Way, Toronto ",43.8100859,-79.3640897,3,650
290,"762,000","10 Bow Valley Dr, Toronto ",43.7722412,-79.2056691,2,2250
291,"390,000"," 8 Rosebank Dr, Toronto ",43.7922768,-79.2366362,14,650
292,"512,000"," 55 Ann O'reilly Rd, Toronto ",43.7739128,-79.3293592,17,1100
293,"720,000"," 18 Graydon Hall Dr, Toronto ",43.7627142,-79.3464237,5,550
294,"526,000"," 2 Valhalla Inn Rd, Toronto ",43.6418184,-79.5595537,7,550
295,"435,000"," 52 Forest Manor Rd E, Toronto ",43.7730134,-79.3458926,18,1100
296,"740,000"," 21 Carlton St, Toronto ",43.6611027,-79.3821061,85,1750
297,"525,000"," 508 Wellington St, Toronto ",43.6433248,-79.3991496,47,750
298,"1,901,000","11 Fernwood Rd, Toronto ",43.7044377,-79.4358191,9,1100
299,"673,000"," 70 Forest Manor Rd, Toronto ",43.7751232,-79.3454556,65,850
300,"1,360,000","15 Glenmount Park Rd, Toronto ",43.6781869,-79.3039717,4,1100
301,"996,000","693 Milverton Blvd, Toronto ",43.6885514,-79.3150384,19,750
302,"430,000"," 330 Mccowan Rd, Toronto ",43.737552,-79.238353,5,850
303,"1,019,000","60 Sellers Ave, Toronto ",43.6826222,-79.4463144,5,1100
304,"1,210,000","48 Silverview Dr, Toronto ",43.7872085,-79.4130917,18,750
305,"607,000","73 East Ave, Toronto ",43.7816708,-79.131743,4,950
306,"1,270,000","30 Bearbury Dr, Toronto ",43.6339185,-79.5734917,4,550
307,"419,000"," 36 Lisgar St, Toronto ",43.6419833,-79.4232498,87,850
308,"459,900"," 3077 Weston Rd N, Toronto ",43.7323456,-79.5369412,4,1100
309,"338,000"," 2500 Bridletowne Cir, Toronto ",43.801356,-79.3178165,12,550
310,"650,000"," 111 Elizabeth St, Toronto ",43.6550554,-79.3847211,63,750
311,"815,000","427 Melita Cres, Toronto ",43.6729102,-79.4265083,20,1300
312,"512,000"," 55 Ann O'reilly Rd, Toronto ",43.7739128,-79.3293592,17,1750
313,"842,000","189 Raponi Cir, Toronto ",43.8280923,-79.2324051,2,650
314,"1,010,000","5 Jordanroch Crt, Toronto ",43.8105024,-79.3252772,6,1750
315,"710,000","118 Crow Tr, Toronto ",43.8140187,-79.2292769,3,850
316,"602,500"," 783 Bathurst St, Toronto ",43.6645795,-79.4106917,63,1300
317,"660,000"," 8 Mercer St, Toronto ",43.6460058,-79.3899085,93,750
318,"978,000","92 Ambercroft Blvd, Toronto ",43.8134481,-79.3145812,0,1100
319,"790,000","7 Bucksburn Rd, Toronto ",43.7489434,-79.6004834,4,250
320,"571,000"," 100 Upper Madison Ave, Toronto ",43.7641932,-79.4127583,69,1300
321,"820,000","31 Tilden Cres, Toronto ",43.6944753,-79.5168927,4,550
322,"835,000","234 Roywood Dr, Toronto ",43.7630357,-79.3348938,7,1100
323,"1,360,000","15 Glenmount Park Rd, Toronto ",43.6781869,-79.3039717,4,1100
324,"1,070,000","16 Helsby Cres, Toronto ",43.6065319,-79.5560792,7,550
325,"720,000"," 18 Graydon Hall Dr, Toronto ",43.7627142,-79.3464237,5,1100
326,"1,080,000","71 Orangewood Cres, Toronto ",43.7915747,-79.3265565,11,550
327,"617,000"," 5162 Yonge St, Toronto ",43.7696635,-79.413783,50,1300
328,"600,000"," 15 Singer Crt, Toronto ",43.7694863,-79.3689201,25,1750
329,"1,010,000","5 Jordanroch Crt, Toronto ",43.8105024,-79.3252772,6,650
